Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541153.025711,2,7.90,3.39,4.99,0.00,0.00,0.00,-0.02,-0.05,0.01,2
1644541153.0267112,1,-6.14,7.44,1.58,0.00,0.00,0.00,-0.02,0.00,0.00,1
1644541153.0267112,2,7.90,3.39,4.99,0.00,0.00,0.00,-0.03,-0.05,0.01,2
1644541153.0277116,1,-6.14,7.44,1.58,0.00,0.00,0.00,-0.02,0.01,-0.01,1
1644541153.028712,2,7.76,3.25,4.83,0.00,0.00,0.00,-0.05,-0.02,0.00,2
1644541153.029712,1,-6.10,7.40,1.50,0.00,0.00,0.00,-0.02,0.01,-0.01,1
1644541153.029712,2,7.80,3.28,4.82,0.00,0.00,0.00,-0.05,0.01,-0.01,2
1644541153.0307124,1,-6.16,7.31,1.42,0.00,0.00,0.00,0.00,0.01,-0.01,1
1644541153.0317125,2,7.80,3.28,4.82,0.00,0.00,0.00,-0.06,0.02,-0.01,2
1644541153.0327132,1,-6.16,7.31,1.42,0.00,0.00,0.00,-0.00,0.01,-0.01,1
1644541153.0327132,2,7.79,3.29,4.94,0.00,0.00,0.00,-0.08,0.03,-0.02,2
1644541153.033713,1,-6.14,7.23,1.52,0.00,0.00,0.00,-0.02,-0.01,0.01,1
1644541153.034713,2,7.79,3.29,4.94,0.00,0.00,0.00,-0.09,0.04,-0.03,2
1644541153.0357132,1,-6.14,7.23,1.52,0.00,0.00,0.00,-0.04,-0.03,0.01,1
1644541153.0357132,2,7.89,3.32,5.00,0.00,0.00,0.00,-0.10,0.04,-0.03,2
1644541153.0367138,1,-6.16,7.18,1.53,0.00,0.00,0.00,-0.04,-0.03,0.01,1
1644541153.037714,2,7.77,3.38,4.93,0.00,0.00,0.00,-0.16,0.06,-0.04,2
1644541153.0387142,1,-6.12,7.25,1.64,0.00,0.00,0.00,-0.03,-0.03,0.02,1
1644541153.0387142,2,7.77,3.38,4.93,0.00,0.00,0.00,-0.18,0.05,-0.06,2
1644541153.0397143,1,-6.12,7.25,1.64,0.00,0.00,0.00,-0.05,-0.03,0.04,1
1644541153.040715,2,7.74,3.25,4.86,0.00,0.00,0.00,-0.15,0.06,-0.05,2
1644541153.0417147,1,-6.24,7.29,1.63,0.00,0.00,0.00,-0.09,-0.05,0.04,1
1644541153.0417147,2,7.85,3.32,4.93,0.00,0.00,0.00,-0.14,0.05,-0.06,2
1644541153.042715,1,-6.17,7.32,1.61,0.00,0.00,0.00,-0.09,-0.05,0.02,1
1644541153.043715,2,7.85,3.32,4.93,0.00,0.00,0.00,-0.13,0.04,-0.06,2
1644541153.0447154,1,-6.17,7.32,1.61,0.00,0.00,0.00,-0.09,-0.06,0.02,1
1644541153.0447154,2,7.89,3.36,4.92,0.00,0.00,0.00,-0.17,0.06,-0.06,2
1644541153.0457158,1,-6.15,7.36,1.68,0.00,0.00,0.00,-0.10,-0.08,0.01,1
1644541153.046716,2,7.89,3.36,4.92,0.00,0.00,0.00,-0.19,0.11,-0.06,2
1644541153.0477164,1,-6.15,7.36,1.68,0.00,0.00,0.00,-0.11,-0.07,0.01,1
1644541153.0477164,2,7.86,3.34,4.94,0.00,0.00,0.00,-0.20,0.13,-0.05,2
1644541153.0487163,1,-6.11,7.24,1.64,0.00,0.00,0.00,-0.09,-0.06,0.01,1
1644541153.0497165,2,7.68,3.30,4.94,0.00,0.00,0.00,-0.20,0.15,-0.05,2
1644541153.0507166,1,-6.19,7.28,1.62,0.00,0.00,0.00,-0.09,-0.05,0.01,1
1644541153.0507166,2,7.68,3.30,4.94,0.00,0.00,0.00,-0.19,0.15,-0.04,2
1644541153.051717,1,-6.19,7.28,1.62,0.00,0.00,0.00,-0.08,-0.05,0.00,1
1644541153.0527172,2,7.65,3.20,4.99,0.00,0.00,0.00,-0.15,0.12,-0.03,2
1644541153.0537176,1,-6.20,7.31,1.60,0.00,0.00,0.00,-0.07,-0.04,-0.01,1
1644541153.0537176,2,7.65,3.20,4.99,0.00,0.00,0.00,-0.11,0.08,-0.03,2
1644541153.0547178,1,-6.20,7.33,1.61,0.00,0.00,0.00,-0.02,-0.06,-0.01,1
1644541153.055718,2,7.46,3.09,4.99,0.00,0.00,0.00,-0.07,0.06,-0.04,2
1644541153.0567186,1,-6.20,7.33,1.61,0.00,0.00,0.00,-0.01,-0.07,-0.02,1
1644541153.0567186,2,7.57,3.13,5.01,0.00,0.00,0.00,-0.05,0.02,-0.04,2
1644541153.0577183,1,-6.06,7.29,1.70,0.00,0.00,0.00,-0.02,-0.09,-0.03,1
1644541153.0587187,2,7.57,3.13,5.01,0.00,0.00,0.00,-0.02,0.01,-0.04,2
1644541153.0597188,1,-6.06,7.29,1.70,0.00,0.00,0.00,-0.04,-0.10,-0.03,1
1644541153.0597188,2,7.63,3.20,5.14,0.00,0.00,0.00,-0.01,0.00,-0.04,2
1644541153.060719,1,-6.06,7.25,1.67,0.00,0.00,0.00,-0.04,-0.10,-0.03,1
1644541153.0617192,2,7.65,3.26,5.20,0.00,0.00,0.00,-0.04,0.03,-0.06,2
1644541153.0627196,1,-6.11,7.24,1.67,0.00,0.00,0.00,-0.04,-0.07,-0.01,1
1644541153.0627196,2,7.65,3.26,5.20,0.00,0.00,0.00,-0.06,0.05,-0.07,2
1644541153.06372,1,-6.11,7.24,1.67,0.00,0.00,0.00,-0.03,-0.06,-0.01,1
1644541153.06472,2,7.59,3.26,5.27,0.00,0.00,0.00,-0.08,0.07,-0.07,2
1644541153.0657203,1,-6.11,7.21,1.74,0.00,0.00,0.00,-0.02,-0.05,0.00,1
1644541153.0657203,2,7.59,3.26,5.27,0.00,0.00,0.00,-0.10,0.09,-0.08,2
1644541153.0667205,1,-6.11,7.21,1.74,0.00,0.00,0.00,-0.03,-0.04,0.00,1
1644541153.0677207,2,7.65,3.41,5.37,0.00,0.00,0.00,-0.12,0.09,-0.08,2
1644541153.0687208,1,-6.20,7.24,1.72,0.00,0.00,0.00,-0.02,-0.03,0.01,1
1644541153.0687208,2,7.73,3.40,5.43,0.00,0.00,0.00,-0.16,0.06,-0.09,2
1644541153.069721,1,-6.24,7.13,1.66,0.00,0.00,0.00,-0.02,-0.02,0.01,1
1644541153.0707214,2,7.73,3.40,5.43,0.00,0.00,0.00,-0.15,0.01,-0.09,2
1644541153.0707214,1,-6.24,7.13,1.66,0.00,0.00,0.00,-0.01,-0.01,0.02,1
1644541153.0717216,2,7.82,3.36,5.35,0.00,0.00,0.00,-0.13,-0.03,-0.09,2
1644541153.072722,1,-6.36,7.20,1.77,0.00,0.00,0.00,-0.01,-0.01,0.02,1
1644541153.0737224,2,8.01,3.28,5.22,0.00,0.00,0.00,-0.11,-0.08,-0.09,2
1644541153.0747223,1,-6.45,7.19,1.82,0.00,0.00,0.00,-0.01,-0.02,0.03,1
1644541153.0747223,2,8.01,3.28,5.22,0.00,0.00,0.00,-0.09,-0.09,-0.08,2
1644541153.0757225,1,-6.45,7.19,1.82,0.00,0.00,0.00,-0.03,-0.03,0.03,1
1644541153.0767226,2,7.99,3.35,5.16,0.00,0.00,0.00,-0.09,-0.11,-0.07,2
1644541153.077723,1,-6.34,7.24,1.91,0.00,0.00,0.00,-0.06,-0.02,0.03,1
1644541153.077723,2,7.99,3.35,5.16,0.00,0.00,0.00,-0.12,-0.06,-0.06,2
1644541153.078723,1,-6.34,7.24,1.91,0.00,0.00,0.00,-0.09,-0.02,0.03,1
1644541153.0797238,2,8.02,3.35,5.14,0.00,0.00,0.00,-0.14,-0.05,-0.05,2
1644541153.0807238,1,-6.42,7.28,1.92,0.00,0.00,0.00,-0.08,0.00,0.02,1
1644541153.0807238,2,7.90,3.35,5.22,0.00,0.00,0.00,-0.17,-0.04,-0.03,2
1644541153.0817242,1,-6.45,7.24,1.96,0.00,0.00,0.00,-0.08,-0.00,0.02,1
1644541153.082724,2,7.90,3.35,5.22,0.00,0.00,0.00,-0.17,-0.02,-0.06,2
1644541153.0837245,1,-6.45,7.24,1.96,0.00,0.00,0.00,-0.03,0.02,0.03,1
1644541153.0837245,2,7.88,3.34,5.17,0.00,0.00,0.00,-0.17,-0.02,-0.07,2
1644541153.0847244,1,-6.46,7.46,1.94,0.00,0.00,0.00,-0.03,0.03,0.02,1
1644541153.0857246,2,7.98,3.32,5.21,0.00,0.00,0.00,-0.15,-0.05,-0.06,2
1644541153.0867248,1,-6.63,7.63,2.01,0.00,0.00,0.00,-0.07,0.02,0.02,1
1644541153.0867248,2,7.98,3.32,5.21,0.00,0.00,0.00,-0.12,-0.05,-0.05,2
1644541153.0877254,1,-6.63,7.63,2.01,0.00,0.00,0.00,-0.12,0.01,-0.01,1
1644541153.0887256,2,8.07,3.30,5.33,0.00,0.00,0.00,-0.09,-0.06,-0.04,2
1644541153.0897257,1,-6.78,7.79,1.93,0.00,0.00,0.00,-0.16,-0.03,-0.04,1
1644541153.0897257,2,8.07,3.30,5.33,0.00,0.00,0.00,-0.06,-0.10,-0.03,2
1644541153.090726,1,-6.78,7.79,1.93,0.00,0.00,0.00,-0.19,-0.04,-0.07,1
1644541153.0917263,2,8.02,3.33,5.40,0.00,0.00,0.00,-0.05,-0.11,-0.02,2
1644541153.0927262,1,-6.70,7.78,1.99,0.00,0.00,0.00,-0.19,-0.04,-0.09,1
1644541153.0927262,2,8.09,3.37,5.40,0.00,0.00,0.00,-0.07,-0.13,0.00,2
1644541153.0937269,1,-6.75,7.61,1.95,0.00,0.00,0.00,-0.18,-0.07,-0.12,1
1644541153.0947268,2,8.09,3.37,5.40,0.00,0.00,0.00,-0.09,-0.14,0.02,2
1644541153.0957274,1,-6.75,7.61,1.95,0.00,0.00,0.00,-0.17,-0.09,-0.14,1
1644541153.0977275,2,8.07,3.25,5.27,0.00,0.00,0.00,-0.09,-0.16,0.02,2
1644541153.0987277,1,-6.67,7.58,1.96,0.00,0.00,0.00,-0.20,-0.05,-0.18,1
1644541153.0997279,2,8.00,3.03,5.13,0.00,0.00,0.00,-0.09,-0.16,0.02,2
1644541153.1007283,1,-6.54,7.48,1.92,0.00,0.00,0.00,-0.16,-0.03,-0.21,1
1644541153.1027286,2,8.00,3.03,5.13,0.00,0.00,0.00,-0.09,-0.17,0.03,2
1644541153.103729,1,-6.54,7.48,1.92,0.00,0.00,0.00,-0.15,-0.01,-0.22,1
1644541153.1047292,2,8.03,2.87,5.13,0.00,0.00,0.00,-0.06,-0.17,0.04,2
1644541153.1057293,1,-6.48,7.32,1.89,0.00,0.00,0.00,-0.13,-0.02,-0.23,1
1644541153.1067297,2,8.03,2.87,5.13,0.00,0.00,0.00,-0.05,-0.18,0.05,2
1644541153.1077297,1,-6.48,7.32,1.89,0.00,0.00,0.00,-0.13,-0.05,-0.23,1
1644541153.1087298,2,8.03,3.08,5.17,0.00,0.00,0.00,-0.05,-0.17,0.06,2
1644541153.1087298,1,-6.45,7.35,1.96,0.00,0.00,0.00,-0.16,-0.09,-0.23,1
1644541153.10973,2,8.16,3.17,5.31,0.00,0.00,0.00,-0.06,-0.15,0.08,2
1644541153.1107302,1,-6.40,7.35,2.05,0.00,0.00,0.00,-0.23,-0.14,-0.22,1
1644541153.1117313,2,8.16,3.17,5.31,0.00,0.00,0.00,-0.07,-0.13,0.09,2
1644541153.1117313,1,-6.40,7.35,2.05,0.00,0.00,0.00,-0.30,-0.19,-0.23,1
1644541153.112731,2,7.98,3.14,5.41,0.00,0.00,0.00,-0.08,-0.12,0.11,2
1644541153.1137314,1,-6.22,7.16,2.21,0.00,0.00,0.00,-0.34,-0.22,-0.23,1
1644541153.1147313,2,7.98,3.14,5.41,0.00,0.00,0.00,-0.13,-0.15,0.12,2
1644541153.1147313,1,-6.16,7.02,2.22,0.00,0.00,0.00,-0.34,-0.23,-0.24,1
1644541153.1157317,2,7.72,3.11,5.43,0.00,0.00,0.00,-0.16,-0.16,0.11,2
